Date,Fajr,Sunrise,Dhuhr,Asr,Maghrib,Isha,Midnight
01,05:58 AM,07:19 AM,12:53 PM,04:04 PM,06:27 PM,07:44 PM,12:13 AM
02,05:58 AM,07:19 AM,12:53 PM,04:04 PM,06:28 PM,07:45 PM,12:13 AM
03,05:57 AM,07:19 AM,12:53 PM,04:05 PM,06:28 PM,07:45 PM,12:13 AM
04,05:57 AM,07:18 AM,12:54 PM,04:05 PM,06:29 PM,07:46 PM,12:13 AM
05,05:57 AM,07:18 AM,12:54 PM,04:06 PM,06:29 PM,07:46 PM,12:13 AM
06,05:56 AM,07:17 AM,12:54 PM,04:06 PM,06:30 PM,07:47 PM,12:13 AM
07,05:56 AM,07:17 AM,12:54 PM,04:07 PM,06:31 PM,07:47 PM,12:14 AM
08,05:55 AM,07:16 AM,12:54 PM,04:07 PM,06:31 PM,07:48 PM,12:13 AM
09,05:55 AM,07:16 AM,12:54 PM,04:08 PM,06:32 PM,07:48 PM,12:14 AM
10,05:55 AM,07:15 AM,12:54 PM,04:08 PM,06:33 PM,07:49 PM,12:14 AM
11,05:54 AM,07:15 AM,12:54 PM,04:08 PM,06:33 PM,07:49 PM,12:14 AM
12,05:54 AM,07:14 AM,12:54 PM,04:09 PM,06:34 PM,07:50 PM,12:14 AM
13,05:53 AM,07:13 AM,12:54 PM,04:09 PM,06:34 PM,07:50 PM,12:14 AM
14,05:53 AM,07:13 AM,12:54 PM,04:10 PM,06:35 PM,07:51 PM,12:14 AM
15,05:52 AM,07:12 AM,12:54 PM,04:10 PM,06:36 PM,07:51 PM,12:14 AM
16,05:51 AM,07:12 AM,12:54 PM,04:10 PM,06:36 PM,07:52 PM,12:14 AM
17,05:51 AM,07:11 AM,12:54 PM,04:11 PM,06:37 PM,07:52 PM,12:14 AM
18,05:50 AM,07:10 AM,12:54 PM,04:11 PM,06:37 PM,07:53 PM,12:14 AM
19,05:50 AM,07:09 AM,12:54 PM,04:11 PM,06:38 PM,07:53 PM,12:14 AM
20,05:49 AM,07:09 AM,12:54 PM,04:11 PM,06:38 PM,07:54 PM,12:14 AM
21,05:48 AM,07:08 AM,12:53 PM,04:12 PM,06:39 PM,07:54 PM,12:14 AM
22,05:48 AM,07:07 AM,12:53 PM,04:12 PM,06:39 PM,07:55 PM,12:14 AM
23,05:47 AM,07:07 AM,12:53 PM,04:12 PM,06:40 PM,07:55 PM,12:14 AM
24,05:46 AM,07:05 AM,12:53 PM,04:12 PM,06:41 PM,07:56 PM,12:14 AM
25,05:46 AM,07:05 AM,12:53 PM,04:12 PM,06:41 PM,07:56 PM,12:14 AM
26,05:45 AM,07:04 AM,12:53 PM,04:13 PM,06:41 PM,07:56 PM,12:13 AM
27,05:44 AM,07:03 AM,12:53 PM,04:13 PM,06:42 PM,07:57 PM,12:13 AM
28,05:43 AM,07:02 AM,12:52 PM,04:13 PM,06:42 PM,07:57 PM,12:13 AM
