Date,Fajr,Sunrise,Dhuhr,Asr,Maghrib,Isha,Midnight
01,04:43 AM,06:10 AM,12:46 PM,04:08 PM,07:22 PM,08:44 PM,
02,04:44 AM,06:11 AM,12:46 PM,04:08 PM,07:21 PM,08:43 PM,
03,04:44 AM,06:11 AM,12:46 PM,04:09 PM,07:21 PM,08:42 PM,
04,04:45 AM,06:12 AM,12:46 PM,04:09 PM,07:20 PM,08:42 PM,
05,04:46 AM,06:12 AM,12:46 PM,04:09 PM,07:19 PM,08:41 PM,
06,04:46 AM,06:12 AM,12:46 PM,04:09 PM,07:19 PM,08:40 PM,
07,04:47 AM,06:13 AM,12:46 PM,04:09 PM,07:18 PM,08:39 PM,
08,04:48 AM,06:13 AM,12:45 PM,04:09 PM,07:18 PM,08:38 PM,
09,04:48 AM,06:14 AM,12:45 PM,04:09 PM,07:17 PM,08:37 PM,
10,04:49 AM,06:14 AM,12:45 PM,04:09 PM,07:16 PM,08:37 PM,
11,04:49 AM,06:14 AM,12:45 PM,04:09 PM,07:16 PM,08:36 PM,
12,04:50 AM,06:15 AM,12:45 PM,04:09 PM,07:15 PM,08:35 PM,
13,04:51 AM,06:15 AM,12:45 PM,04:09 PM,07:14 PM,08:34 PM,
14,04:51 AM,06:16 AM,12:44 PM,04:09 PM,07:13 PM,08:33 PM,
15,04:52 AM,06:16 AM,12:44 PM,04:09 PM,07:13 PM,08:32 PM,
16,04:52 AM,06:16 AM,12:44 PM,04:09 PM,07:12 PM,08:31 PM,
17,04:53 AM,06:17 AM,12:44 PM,04:09 PM,07:11 PM,08:30 PM,
18,04:53 AM,06:17 AM,12:44 PM,04:09 PM,07:10 PM,08:29 PM,
19,04:54 AM,06:18 AM,12:43 PM,04:09 PM,07:09 PM,08:28 PM,
20,04:55 AM,06:18 AM,12:43 PM,04:09 PM,07:09 PM,08:27 PM,
21,04:55 AM,06:18 AM,12:43 PM,04:09 PM,07:08 PM,08:26 PM,
22,04:56 AM,06:19 AM,12:43 PM,04:09 PM,07:07 PM,08:25 PM,
23,04:56 AM,06:19 AM,12:43 PM,04:09 PM,07:06 PM,08:24 PM,
24,04:57 AM,06:19 AM,12:42 PM,04:09 PM,07:05 PM,08:23 PM,
25,04:57 AM,06:20 AM,12:42 PM,04:08 PM,07:04 PM,08:22 PM,
26,04:58 AM,06:20 AM,12:42 PM,04:08 PM,07:03 PM,08:21 PM,
27,04:58 AM,06:20 AM,12:41 PM,04:08 PM,07:03 PM,08:20 PM,
28,04:59 AM,06:21 AM,12:41 PM,04:08 PM,07:02 PM,08:19 PM,
29,04:59 AM,06:21 AM,12:41 PM,04:08 PM,07:01 PM,08:18 PM,
30,05:00 AM,06:21 AM,12:41 PM,04:07 PM,07:00 PM,08:17 PM,
31,05:00 AM,06:22 AM,12:40 PM,04:07 PM,06:59 PM,08:16 PM,
